;;;;;;;;;
Results:;;;;;;;;;
(Key):;;;;;;;;;
Vertices;Edges;VCount;ECount;PQCount;Number of Operations Operations;O(|E|log(|V|));;;
7;10;3;4;1;8;28,07354922;;;
7;20;7;20;17;44;56,14709844;;;
7;30;7;30;23;60;84,22064766;;;
7;40;7;40;26;73;112,2941969;;;
10;10;2;2;3;7;33,21928095;;;
10;30;10;30;33;73;99,65784285;;;
10;50;10;50;55;115;166,0964047;;;
10;70;10;70;58;138;232,5349666;;;
10;90;10;90;64;164;298,9735285;;;
15;20;5;5;7;17;78,13781191;;;
15;50;14;47;65;126;195,3445298;;;
15;100;15;100;102;217;390,6890596;;;
15;150;15;150;119;284;586,0335893;;;
15;200;15;200;149;364;781,3781191;;;
15;210;15;210;135;360;820,4470251;;;
20;50;17;42;65;124;216,0964047;;;
20;125;20;125;143;288;540,2410119;;;
20;200;20;200;180;400;864,385619;;;
20;275;20;275;214;509;1188,530226;;;
20;350;20;350;228;598;1512,674833;;;
26;100;25;95;168;288;470,0439718;;;
26;225;26;225;275;526;1057,598937;;;
26;375;26;375;339;740;1762,664894;;;
26;475;26;475;327;828;2232,708866;;;
26;600;26;600;347;973;2820,263831;;;